,Timestamp,HTTP_reply_code,Bytes
0,1994-10-24 19:41:41+00:00,200,150
1,1994-10-24 19:41:41+00:00,200,1210
2,1994-10-24 19:43:13+00:00,200,3185
3,1994-10-24 19:43:14+00:00,200,2555
4,1994-10-24 19:43:15+00:00,200,36403
5,1994-10-24 19:43:17+00:00,200,441
6,1994-10-24 19:46:45+00:00,200,3185
7,1994-10-24 19:46:45+00:00,200,2555
8,1994-10-24 19:46:47+00:00,200,36403
9,1994-10-24 19:46:50+00:00,200,441
10,1994-10-24 19:47:19+00:00,200,150
11,1994-10-24 19:47:19+00:00,200,1210
12,1994-10-24 19:47:41+00:00,200,3185
13,1994-10-24 19:47:50+00:00,200,2065
14,1994-10-24 19:48:11+00:00,200,1124
15,1994-10-24 19:48:23+00:00,200,1538
16,1994-10-24 19:48:51+00:00,200,322
17,1994-10-24 19:49:01+00:00,200,999
18,1994-10-24 19:49:14+00:00,200,1248
19,1994-10-24 19:49:20+00:00,200,3185
20,1994-10-24 19:49:21+00:00,200,2555
21,1994-10-24 19:49:25+00:00,200,36403
22,1994-10-24 19:49:27+00:00,200,441
23,1994-10-24 19:49:39+00:00,200,150
24,1994-10-24 19:49:49+00:00,200,2286
25,1994-10-24 19:50:33+00:00,200,150
26,1994-10-24 19:55:03+00:00,200,1213
27,1994-10-24 19:55:04+00:00,200,1213
28,1994-10-24 19:55:08+00:00,200,191
29,1994-10-24 19:55:21+00:00,200,33974
30,1994-10-24 19:59:48+00:00,200,3185
31,1994-10-24 19:59:55+00:00,304,0
32,1994-10-24 20:00:06+00:00,200,3100
33,1994-10-24 20:00:20+00:00,200,631
34,1994-10-24 20:00:25+00:00,200,861
35,1994-10-24 20:00:49+00:00,200,631
36,1994-10-24 20:00:52+00:00,200,1006
37,1994-10-24 20:01:02+00:00,200,150
38,1994-10-24 20:01:11+00:00,200,881
39,1994-10-24 20:01:24+00:00,200,709
40,1994-10-24 20:01:42+00:00,200,1357
41,1994-10-24 20:02:01+00:00,200,391
42,1994-10-24 20:03:32+00:00,200,1530
43,1994-10-24 20:03:36+00:00,200,59975
44,1994-10-24 20:03:39+00:00,200,410
45,1994-10-24 20:03:49+00:00,200,7151
46,1994-10-24 20:04:22+00:00,200,410
47,1994-10-24 20:05:17+00:00,200,419
48,1994-10-24 20:05:31+00:00,200,3787
49,1994-10-24 20:06:07+00:00,200,4326
50,1994-10-24 20:09:59+00:00,200,1403
51,1994-10-24 20:10:00+00:00,200,26694
52,1994-10-24 20:10:01+00:00,200,871
53,1994-10-24 20:10:28+00:00,200,329
54,1994-10-24 20:10:30+00:00,200,673
55,1994-10-24 20:10:32+00:00,200,2130
56,1994-10-24 20:10:32+00:00,200,15525
57,1994-10-24 20:10:33+00:00,200,191
58,1994-10-24 20:10:33+00:00,200,890
59,1994-10-24 20:10:36+00:00,200,1680
60,1994-10-24 20:13:11+00:00,200,3185
61,1994-10-24 20:13:12+00:00,200,2555
62,1994-10-24 20:13:14+00:00,200,36403
63,1994-10-24 20:13:16+00:00,200,441
64,1994-10-24 20:14:22+00:00,200,2631
65,1994-10-24 20:14:23+00:00,200,6258
66,1994-10-24 20:15:54+00:00,200,3185
67,1994-10-24 20:16:05+00:00,200,3100
68,1994-10-24 20:16:17+00:00,200,897
69,1994-10-24 20:18:43+00:00,200,3185
70,1994-10-24 20:18:53+00:00,200,3185
71,1994-10-24 20:19:22+00:00,200,3185
72,1994-10-24 20:19:32+00:00,200,3100
73,1994-10-24 20:19:43+00:00,200,892
74,1994-10-24 20:19:53+00:00,200,2374
75,1994-10-24 20:20:57+00:00,200,3185
76,1994-10-24 20:21:06+00:00,200,3100
77,1994-10-24 20:21:15+00:00,200,894
78,1994-10-24 20:22:29+00:00,200,3185
79,1994-10-24 20:22:29+00:00,200,2555
80,1994-10-24 20:22:31+00:00,200,36403
81,1994-10-24 20:22:32+00:00,200,441
82,1994-10-24 20:27:52+00:00,200,299
83,1994-10-24 20:28:00+00:00,200,2231
84,1994-10-24 20:28:08+00:00,200,3185
85,1994-10-24 20:28:09+00:00,200,2555
86,1994-10-24 20:28:11+00:00,200,36403
87,1994-10-24 20:28:12+00:00,200,441
88,1994-10-24 20:29:35+00:00,200,3185
89,1994-10-24 20:29:50+00:00,200,3100
90,1994-10-24 20:29:58+00:00,200,888
91,1994-10-24 20:30:50+00:00,200,3185
92,1994-10-24 20:35:12+00:00,200,319488
93,1994-10-24 20:37:59+00:00,200,3185
94,1994-10-24 20:38:19+00:00,200,3100
95,1994-10-24 20:38:29+00:00,200,788
96,1994-10-24 20:39:16+00:00,200,3185
97,1994-10-24 20:39:25+00:00,200,3100
98,1994-10-24 20:39:33+00:00,200,821
99,1994-10-24 20:40:00+00:00,200,2451
100,1994-10-24 20:41:06+00:00,200,3185
101,1994-10-24 20:41:16+00:00,200,3100
102,1994-10-24 20:41:24+00:00,200,822
103,1994-10-24 20:41:30+00:00,200,1161
104,1994-10-24 20:59:24+00:00,200,3185
105,1994-10-24 20:59:30+00:00,200,572
106,1994-10-24 21:00:16+00:00,200,35036
107,1994-10-24 21:00:44+00:00,200,2065
108,1994-10-24 21:01:13+00:00,200,3100
109,1994-10-24 21:01:37+00:00,200,780
110,1994-10-24 21:01:48+00:00,200,3070
111,1994-10-24 21:02:30+00:00,200,3185
112,1994-10-24 21:02:31+00:00,200,2555
113,1994-10-24 21:02:34+00:00,200,441
114,1994-10-24 21:02:42+00:00,200,631
115,1994-10-24 21:02:51+00:00,200,861
116,1994-10-24 21:03:14+00:00,200,3100
117,1994-10-24 21:03:23+00:00,200,708
118,1994-10-24 21:04:59+00:00,200,3100
119,1994-10-24 21:05:03+00:00,200,631
120,1994-10-24 21:05:05+00:00,200,3100
121,1994-10-24 21:05:08+00:00,200,3185
122,1994-10-24 21:07:39+00:00,200,329
123,1994-10-24 21:08:05+00:00,200,674
124,1994-10-24 21:08:18+00:00,200,673
125,1994-10-24 21:08:18+00:00,200,3185
126,1994-10-24 21:08:55+00:00,200,5489
127,1994-10-24 21:09:00+00:00,200,2231
128,1994-10-24 21:09:14+00:00,200,419
129,1994-10-24 21:09:16+00:00,200,674
130,1994-10-24 21:09:16+00:00,200,2534
131,1994-10-24 21:09:34+00:00,200,673
132,1994-10-24 21:09:43+00:00,200,540
